"","Program","Year","Period","State","State.ANSI","Strawberries","items","discription","units","measurement","dname","type","Domain.Category","title","Pesticide","Number","Value","CV....","Pesticide_old","Carcinogen","Hormone.Disruptor","Neurotoxins","Developmental.or.Reproductive.Toxins","Bee.Toxins"
"213","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIPROXYFEN = 129032)","CHEMICAL, INSECTICIDE","PYRIPROXYFEN"," 129032","100","","PYRIPROXYFEN",NA,NA,NA,NA,"slight"
"214","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (SOYBEAN OIL = 31605)","CHEMICAL, INSECTICIDE",NA," 31605"," (D)","","SOYBEAN OIL",NA,NA,NA,NA,NA
"215","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)","CHEMICAL, INSECTICIDE",NA," 110007","2,300","","SPINETORAM",NA,NA,NA,NA,NA
"216","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINOSAD = 110003)","CHEMICAL, INSECTICIDE",NA," 110003","600","","SPINOSAD",NA,NA,NA,NA,NA
"217","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROMESIFEN = 24875)","CHEMICAL, INSECTICIDE","SPIROMESIFEN"," 24875","1,800","","SPIROMESIFEN",NA,NA,NA,NA,NA
"218","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (SULFOXAFLOR = 5210)","CHEMICAL, INSECTICIDE",NA," 5210","1,000","","SULFOXAFLOR",NA,NA,NA,NA,NA
"219","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (THIAMETHOXAM = 60109)","CHEMICAL, INSECTICIDE","THIAMETHOXAM"," 60109","1,400","","THIAMETHOXAM",NA,NA,NA,NA,"high"
"220","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","CHEMICAL, INSECTICIDE",NA,NA,"212,600","","TOTAL",NA,NA,NA,NA,NA
"221","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (ZETA-CYPERMETHRIN = 129064)","CHEMICAL, INSECTICIDE",NA," 129064"," (D)","","ZETA-CYPERMETHRIN",NA,NA,NA,NA,NA
"222","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (ACIBENZOLAR-S-METHYL = 61402)","CHEMICAL, OTHER",NA," 61402"," (D)","","ACIBENZOLAR-S-METHYL",NA,NA,NA,NA,NA
"223","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (AUREOBASIDIUM PULLULANS DSM 14940 = 46010)","CHEMICAL, OTHER",NA," 46010"," (NA)","","AUREOBASIDIUM PULLULANS DSM 14940",NA,NA,NA,NA,NA
"224","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (AUREOBASIDIUM PULLULANS DSM 14941 = 36010)","CHEMICAL, OTHER",NA," 36010"," (NA)","","AUREOBASIDIUM PULLULANS DSM 14941",NA,NA,NA,NA,NA
"225","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (BT KURSTAKI SA-12 = 6518)","CHEMICAL, OTHER",NA," 6518"," (NA)","","BT KURSTAKI SA-12",NA,NA,NA,NA,NA
"226","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (CAPRIC ACID = 128955)","CHEMICAL, OTHER",NA," 128955"," (D)","","CAPRIC ACID",NA,NA,NA,NA,NA
"227","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (CAPRYLIC ACID = 128919)","CHEMICAL, OTHER",NA," 128919"," (D)","","CAPRYLIC ACID",NA,NA,NA,NA,NA
"228","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (CHLOROPICRIN = 81501)","CHEMICAL, OTHER",NA," 81501","6,146,600","","CHLOROPICRIN",NA,NA,NA,NA,NA
"229","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)","CHEMICAL, OTHER",NA," 29001","1,045,700","","DICHLOROPROPENE",NA,NA,NA,NA,NA
"230","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (FLUTRIAFOL = 128940)","CHEMICAL, OTHER",NA," 128940","1,700","","FLUTRIAFOL",NA,NA,NA,NA,NA
"231","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (GLIOCLADIUM VIRENS = 129000)","CHEMICAL, OTHER",NA," 129000"," (D)","","GLIOCLADIUM VIRENS",NA,NA,NA,NA,NA
"232","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (HYDROGEN PEROXIDE = 595)","CHEMICAL, OTHER",NA," 595"," (D)","","HYDROGEN PEROXIDE",NA,NA,NA,NA,NA
"233","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (IRON PHOSPHATE = 34903)","CHEMICAL, OTHER",NA," 34903","100","","IRON PHOSPHATE",NA,NA,NA,NA,NA
"234","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (METALDEHYDE = 53001)","CHEMICAL, OTHER",NA," 53001"," (D)","","METALDEHYDE",NA,NA,NA,NA,NA
"235","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (METAM-POTASSIUM = 39002)","CHEMICAL, OTHER",NA," 39002","254,000","","METAM-POTASSIUM",NA,NA,NA,NA,NA
"236","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (METAM-SODIUM = 39003)","CHEMICAL, OTHER",NA," 39003","244,000","","METAM-SODIUM",NA,NA,NA,NA,NA
"237","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (PAECILOMYCES FUMOSOR = 115002)","CHEMICAL, OTHER",NA," 115002"," (D)","","PAECILOMYCES FUMOSOR",NA,NA,NA,NA,NA
"238","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (PEROXYACETIC ACID = 63201)","CHEMICAL, OTHER",NA," 63201"," (D)","","PEROXYACETIC ACID",NA,NA,NA,NA,NA
"239","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (POTASSIUM SILICATE = 72606)","CHEMICAL, OTHER",NA," 72606"," (D)","","POTASSIUM SILICATE",NA,NA,NA,NA,NA
"240","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (REYNOUTRIA SACHALINE = 55809)","CHEMICAL, OTHER",NA," 55809","600","","REYNOUTRIA SACHALINE",NA,NA,NA,NA,NA
"241","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (TOTAL)","CHEMICAL, OTHER",NA,NA,"7,698,900","","TOTAL",NA,NA,NA,NA,NA
"242","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","CHEMICAL","OTHER","CHEMICAL, OTHER: (TRICHODERMA VIRENS STRAIN G-41 = 176604)","CHEMICAL, OTHER",NA," 176604"," (NA)","","TRICHODERMA VIRENS STRAIN G-41",NA,NA,NA,NA,NA
"243","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","FERTILIZER",NA,"FERTILIZER: (NITROGEN)"," ",NA,NA,"668,000","",NA,NA,NA,NA,NA,NA
"244","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)"," ",NA,NA,"493,000","",NA,NA,NA,NA,NA,NA
"245","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","FERTILIZER",NA,"FERTILIZER: (POTASH)"," ",NA,NA,"430,000","",NA,NA,NA,NA,NA,NA
"246","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"MEASURED IN LB","FERTILIZER",NA,"FERTILIZER: (SULFUR)"," ",NA,NA,"57,000","",NA,NA,NA,NA,NA,NA
"247","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","CHEMICAL, FUNGICIDE","AZOXYSTROBIN"," 128810","0.205","","AZOXYSTROBIN",NA,NA,NA,NA,NA
"248","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","CHEMICAL, FUNGICIDE",NA," 129082"," (NA)","","BACILLUS AMYLOLIQUEFACIENS MBI 600",NA,NA,NA,NA,NA
"249","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","CHEMICAL, FUNGICIDE",NA," 16482"," (NA)","","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",NA,NA,NA,NA,NA
"250","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS PUMILUS = 6485)","CHEMICAL, FUNGICIDE",NA," 6485"," (NA)","","BACILLUS PUMILUS",NA,NA,NA,NA,NA
"251","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBT. GB03 = 129068)","CHEMICAL, FUNGICIDE",NA," 129068"," (NA)","","BACILLUS SUBT. GB03",NA,NA,NA,NA,NA
"252","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)","CHEMICAL, FUNGICIDE",NA," 6479"," (NA)","","BACILLUS SUBTILIS",NA,NA,NA,NA,NA
"253","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)","CHEMICAL, FUNGICIDE",NA," 30006","0.482","","BLAD",NA,NA,NA,NA,NA
"254","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)","CHEMICAL, FUNGICIDE",NA," 11102","0.023","","BORAX DECAHYDRATE",NA,NA,NA,NA,NA
"255","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","CHEMICAL, FUNGICIDE","BOSCALID"," 128008","0.337","","BOSCALID","possible",NA,NA,NA,NA
"256","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)","CHEMICAL, FUNGICIDE",NA," 6544"," (NA)","","BT SUBSP KURSTAKI EVB-113-19",NA,NA,NA,NA,NA
"257","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)","CHEMICAL, FUNGICIDE","CAPTAN"," 81301","1.739","","CAPTAN","known",NA,NA,NA,NA
"258","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","CHEMICAL, FUNGICIDE",NA," 23401"," (D)","","COPPER HYDROXIDE",NA,NA,NA,NA,NA
"259","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)","CHEMICAL, FUNGICIDE",NA," 23306"," (D)","","COPPER OCTANOATE",NA,NA,NA,NA,NA
"260","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)","CHEMICAL, FUNGICIDE",NA," 555550","0.023","","CYFLUFENAMID",NA,NA,NA,NA,NA
"261","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","CHEMICAL, FUNGICIDE","CYPRODINIL"," 288202","0.32","","CYPRODINIL",NA,NA,NA,NA,NA
"262","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","CHEMICAL, FUNGICIDE",NA," 128847","0.114","","DIFENOCONAZOLE",NA,NA,NA,NA,NA
"263","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)","CHEMICAL, FUNGICIDE","FENHEXAMID"," 90209","0.623","","FENHEXAMID",NA,NA,NA,NA,NA
"264","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)","CHEMICAL, FUNGICIDE","FLUDIOXONIL"," 71503","0.213","","FLUDIOXONIL",NA,NA,NA,NA,"slight"
"265","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","CHEMICAL, FUNGICIDE",NA," 80302","0.113","","FLUOPYRAM",NA,NA,NA,NA,NA
"266","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)","CHEMICAL, FUNGICIDE",NA," 138009","0.168","","FLUXAPYROXAD",NA,NA,NA,NA,NA
"267","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)","CHEMICAL, FUNGICIDE",NA," 123301","3.997","","FOSETYL-AL",NA,NA,NA,NA,NA
"268","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)","CHEMICAL, FUNGICIDE",NA," 270000"," (D)","","ISOFETAMID",NA,NA,NA,NA,NA
"269","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)","CHEMICAL, FUNGICIDE",NA," 113502","0.493","","MEFENOXAM",NA,NA,NA,NA,NA
"270","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)","CHEMICAL, FUNGICIDE",NA," 76416"," (D)","","MONO-POTASSIUM SALT",NA,NA,NA,NA,NA
"271","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","CHEMICAL, FUNGICIDE","MYCLOBUTANIL"," 128857","0.106","","MYCLOBUTANIL",NA,"suspected",NA,"present",NA
"272","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","CHEMICAL, FUNGICIDE",NA," 90112","0.303","","PENTHIOPYRAD",NA,NA,NA,NA,NA
"273","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)","CHEMICAL, FUNGICIDE",NA," 230000","0.073","","POLYOXIN D ZINC SALT",NA,NA,NA,NA,NA
"274","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)","CHEMICAL, FUNGICIDE",NA," 73508","2.381","","POTASSIUM BICARBON.",NA,NA,NA,NA,NA
"275","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)","CHEMICAL, FUNGICIDE","PROPICONAZOLE"," 122101","0.112","","PROPICONAZOLE","possible","suspected",NA,"present","slight"
"276","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","CHEMICAL, FUNGICIDE","PYRACLOSTROBIN"," 99100","0.169","","PYRACLOSTROBIN",NA,NA,NA,NA,"slight"
"277","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)","CHEMICAL, FUNGICIDE","PYRIMETHANIL"," 288201","0.51","","PYRIMETHANIL","possible","suspected",NA,NA,"slight"
"278","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)","CHEMICAL, FUNGICIDE",NA," 55459","0.097","","QUINOLINE",NA,NA,NA,NA,NA
"279","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCES LYDICUS = 6327)","CHEMICAL, FUNGICIDE",NA," 6327"," (NA)","","STREPTOMYCES LYDICUS",NA,NA,NA,NA,NA
"280","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","CHEMICAL, FUNGICIDE",NA," 77501","3.656","","SULFUR",NA,NA,NA,NA,NA
"281","SURVEY",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)","CHEMICAL, FUNGICIDE",NA," 120603","0.039","","TETRACONAZOLE",NA,NA,NA,NA,NA
